source,title,link,published,published_dt,imputed_time,compound,label,fetched_at,key
BBC News (Top stories),Sidelined Ukrainians look on with deep scepticism as Trump and Putin meet,https://www.bbc.com/news/articles/cm21l237pkpo?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 13:38:03 GMT",2025-08-15 13:38:03+00:00,False,-0.2023,negative,2025-08-15 18:33:26.605639+00:00,71b3a683da7cd35650eabd3d3cf1591b
The Guardian (UK),"My summer holiday by JD Vance, aged 41 years and a few days | John Crace",https://www.theguardian.com/politics/2025/aug/15/my-summer-holiday-by-jd-vance,"Fri, 15 Aug 2025 10:28:18 GMT",2025-08-15 10:28:18+00:00,False,0.4019,positive,2025-08-15 18:33:26.605639+00:00,9b3f818cc6127fa0879f2e09aebe2279
The Guardian (UK),"As Netanyahu starves Gaza, there is a whole new battle to be fought in Israel – against complacency | Aluf Benn",https://www.theguardian.com/commentisfree/2025/aug/15/benjamin-netanyahu-gaza-starve-israel-tel-aviv,"Fri, 15 Aug 2025 16:49:59 GMT",2025-08-15 16:49:59+00:00,False,-0.802,negative,2025-08-15 18:33:26.605639+00:00,6c6dc5d70854a71fcced5008e6274fad
The Guardian (UK),The egg flight trend: Tim Dowling ranks 10 boiled egg appetisers - from perfect to never again,https://www.theguardian.com/food/2025/aug/15/the-egg-flight-trend-tim-dowling-ranks-10-boiled-egg-appetisers-from-perfect-to-never-again,"Fri, 15 Aug 2025 13:16:06 GMT",2025-08-15 13:16:06+00:00,False,0.5719,positive,2025-08-15 18:33:26.605639+00:00,05ee8106379c09d3a63b8cd62f93b660
The Guardian (UK),‘Carrie had nothing to do but wander around in couture’: how Sex and the City’s characters deserved better,https://www.theguardian.com/tv-and-radio/2025/aug/15/carrie-had-nothing-to-do-but-wander-around-in-couture-how-sex-and-the-citys-characters-deserved-better,"Fri, 15 Aug 2025 13:56:02 GMT",2025-08-15 13:56:02+00:00,False,0.5927,positive,2025-08-15 18:33:26.605639+00:00,14934560d7446890421a2ffb7de17cc9
The Guardian (UK),"‘I am tough’ – Emma Raducanu on legacy of US Open win, stalking ordeal and why therapy won’t help her",https://www.theguardian.com/sport/2025/aug/15/i-am-tough-emma-raducanu-on-legacy-of-her-us-open-win-stalking-ordeal-and-why-therapy-wont-help-her,"Fri, 15 Aug 2025 13:16:00 GMT",2025-08-15 13:16:00+00:00,False,0.7579,positive,2025-08-15 18:33:26.605639+00:00,e731a70d19ebcb9fa916aeba845ce7af
The Guardian (UK),"Laid back, unreliable, free-spirited: the ‘type B’ personality is having a moment",https://www.theguardian.com/wellness/2025/aug/15/type-b-personality-trend-tiktok,"Fri, 15 Aug 2025 16:00:36 GMT",2025-08-15 16:00:36+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,9cdfae2e6a31293819efee55ab53ff50
The Guardian (UK),From Alex Kingston to Paul from Neighbours: every Strictly Come Dancing 2025 contestant rated,https://www.theguardian.com/tv-and-radio/2025/aug/15/from-alex-kingston-to-paul-from-neighbours-every-strictly-come-dancing-2025-contestant-rated,"Fri, 15 Aug 2025 14:27:51 GMT",2025-08-15 14:27:51+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,d982982046ca682ff18c3ea0137b554e
The Guardian (UK),"‘I was bawling my eyes out’: Sheridan Smith on drink, death and the hardest role of her career",https://www.theguardian.com/culture/2025/aug/15/sheridan-smith-interview-ann-ming-i-foughgt-the-law,"Fri, 15 Aug 2025 12:00:32 GMT",2025-08-15 12:00:32+00:00,False,-0.5994,negative,2025-08-15 18:33:26.605639+00:00,5ca453405f5c9f308d5cf364dda71583
The Guardian (UK),Remember when having women in power was supposed to change everything? | Gaby Hinsliff,https://www.theguardian.com/commentisfree/2025/aug/15/nicola-sturgeon-angela-merkel-jacinda-ardern-women-in-power,"Fri, 15 Aug 2025 06:00:25 GMT",2025-08-15 06:00:25+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,042e9090d442bbf23b3ff15cb3576c9a
